"Al","Ba","Ca","Cr","Fe","K","Mg","Mn","Na","Nb","P","Si","Sr","Ti","V","Y","Zn","Zr","LOI"
56842,330,4617,95,31684,16520,6694,1015,6009,17,1017,330386,76,4646,92,36,65,435,8.08
37894,574,9277,105,120932,10236,7116,5746,8976,8,864,256671,100,2680,72,14,60,152,14
60758,433,9849,92,30915,17375,8020,767,4525,15,685,292664,94,4556,86,36,66,348,14.72
75207,166,31454,365,72741,2906,31298,1549,3709,8,2636,153040,92,6289,223,21,132,84,29.91
66474,422,600,48,30076,17035,3618,457,2003,15,550,282520,17,4149,63,25,51,289,18.58
66739,318,25186,179,43155,10642,14835,976,16098,17,646,278313,145,6571,128,30,65,324,10.56
70443,429,23907,64,33433,19849,10131,929,8754,13,698,283548,164,3753,103,28,93,162,11.37
31808,377,3052,12,9512,19434,1266,356,4377,10,519,382318,50,2326,26,18,33,274,6.54
32919,241,50637,70,20354,8277,6211,379,519,11,541,319354,88,2536,48,17,47,250,12.44
67268,454,26372,81,33643,19874,11036,736,8309,13,1335,271863,129,4005,84,31,147,191,13.77
50120,224,88266,81,33013,16279,5729,620,1335,16,978,225539,113,3693,110,30,112,262,20.76
68908,491,25229,152,38329,13457,18574,713,25372,6,825,297525,254,4215,108,16,50,192,4.92
7092,107,615,8,1888,4068,241,85,1113,3,253,446498,17,498,2.5,7,10,142,1.88
32337,317,26780,54,15457,12519,2593,472,3264,11,1061,355441,80,2932,42,25,63,472,8.33
30220,217,2952,56,21543,6741,2231,906,3932,10,1104,378252,48,2902,44,27,145,564,7.06
28262,559,3952,21,9722,16927,1628,271,3338,7,637,394425,74,1355,28,17,31,198,4.98
115906,331,4717,263,62040,11589,5729,1921,1780,36,1702,223576,79,7710,249,74,181,401,15.79
60811,451,15180,63,37420,14303,9649,1015,15134,13,1082,319401,201,4664,83,25,98,244,5.92
69279,1257,20219,18,21403,27777,5427,318,23888,20,2008,310052,709,4880,53,35,52,559,5.43
47738,883,11542,53,34132,16935,6272,10889,9051,11,1170,293879,221,3933,92,31,80,268,14.66
37153,212,607,11,6645,24323,1085,186,2671,12,567,393584,43,2236,12,18,30,183,3.59
61287,528,16009,47,23011,16296,7779,434,17508,10,973,324356,232,3495,66,20,45,235,6.78
79970,554,15981,132,46442,17458,16523,813,16914,17,1026,288831,199,5575,110,35,92,244,5.5
46362,1258,1529,52,18325,21302,2653,1774,2596,13,1261,357871,94,3945,59,31,50,403,6.98
68062,726,9413,34,31544,26332,7839,1076,16247,15,1170,297759,168,4197,73,30,101,277,9.55
42922,297,2101,56,21263,13191,3196,620,3487,14,537,374793,54,4131,67,32,52,410,4.68
77324,496,14187,106,46792,19218,13206,1774,13279,20,1200,281912,200,5971,107,32,72,245,8.26
42446,190,153875,265,31405,8044,15136,767,10238,8,541,178281,332,3483,124,21,89,93,21.73
73407,366,40852,402,45183,18736,39619,813,9273,12,602,238067,153,4197,117,30,108,146,11.51
56101,561,11156,30,21403,23153,5126,658,14095,13,1327,326413,118,2632,53,32,100,226,8.29
54936,573,14473,58,28397,20646,6754,1673,12686,13,759,315521,140,3453,75,35,55,430,9.44
72666,442,5796,5,12730,34468,3075,604,24481,11,354,330994,82,1205,21,31,36,134,4.33
82828,445,11871,12,33013,28350,6513,666,27226,29,1327,301545,110,4862,59,47,74,557,3.78
31279,305,3652,57,12590,13631,2472,341,7122,10,537,395968,73,2962,35,24,32,527,3.17
60070,487,5003,56,27628,30749,6935,682,5193,15,755,328142,91,3957,68,26,66,298,7.06
45780,421,10399,72,20144,17707,4945,565,5638,13,751,338660,94,4101,62,34,42,534,9.6
16989,224,2173,30,6715,7712,905,349,1780,8,729,421303,32,1589,29,13,127,250,3.44
44351,537,42425,23,31125,25303,8201,2107,9051,7,2553,294346,136,1625,39,36,75,181,11.1
50596,444,8198,24,21473,20422,3920,565,12389,13,1148,349317,100,2638,55,30,60,292,5.7
17307,96,185393,23,8533,3163,100285,318,742,8,951,48707,109,893,31,14,42,67,41.47
44034,411,9591,68,19934,17209,4945,519,5490,13,607,340342,96,3981,51,34,39,552,9.86
71449,458,9248,110,36231,17607,10131,906,8235,17,707,297478,104,5444,96,40,76,346,9.96
74730,638,16988,378,32943,23144,23941,1417,2819,13,445,274013,90,3105,85,24,215,142,10.85
66209,431,9134,94,33713,18496,8925,906,8309,17,842,311268,93,5294,87,42,76,375,8.44
45674,203,98057,42,21752,13897,58977,496,4970,11,637,153507,90,2668,66,21,65,131,28.58
70602,730,21798,96,41826,21451,12664,1038,14169,41,1746,284530,369,7530,115,31,103,246,7.96
35619,322,2737,44,16507,17740,4824,651,1929,8,546,373110,43,2542,49,19,86,221,6.67
22546,305,2895,12,6645,10543,965,240,5638,6,663,413450,70,989,14,10,24,137,3.25
62081,532,13150,34,23991,25967,6151,488,14021,12,842,311501,127,2686,55,33,72,244,9.33
63616,777,14709,36,21053,21899,4643,635,20179,9,1039,310847,288,3105,54,17,54,255,9.16
60599,289,11021,53,29236,9721,5367,1332,15505,15,1405,311314,194,3819,49,25,92,147,10.73
80922,271,2480,17,12240,33546,1749,403,13057,13,1021,323795,54,1787,26,15,68,128,6.47
38477,289,7168,99,24200,10476,2593,1448,3709,17,1536,358853,62,4892,61,41,89,657,7.62
32602,365,3123,41,11960,16370,2472,465,5341,10,524,393210,64,2896,31,20,34,386,3.6
91084,415,14973,76,44344,15997,6573,1541,3338,38,1353,269619,122,4688,146,45,107,284,11.54
67850,496,17567,56,33643,13266,9046,867,20698,17,1357,290934,259,5156,84,38,70,296,10.19
63034,499,11135,29,22312,22929,4824,441,25817,15,890,303789,148,4376,59,27,37,347,10.07
67109,338,9120,242,36371,13797,9890,906,15727,11,397,316082,124,4179,108,25,62,212,6.61
51443,319,108777,20,23221,14403,47760,387,3190,13,620,174682,210,2446,49,25,63,93,23.28
31332,366,2852,27,10701,17856,2352,496,5045,8,327,398725,63,2092,26,17,30,305,2.93
14554,191,1637,29,4756,7596,663,294,2003,7,724,428922,33,1721,21,13,28,445,2.63
75101,431,6711,55,44974,14179,6030,2052,18695,13,537,285979,198,5246,143,30,76,251,10.48
45727,390,10499,31,16926,20388,4643,527,8606,8,794,354786,117,2302,40,28,41,312,6.26
2858,16,378148,6,2028,241,1508,147,74,3,724,11499,901,222,15,10,19,26,43.3
58165,499,12557,44,22941,23875,6633,527,13650,10,1209,327348,137,3225,52,23,63,241,6.95
51867,479,3917,64,32104,8733,2895,844,2893,10,1109,291074,74,3435,85,26,185,301,19.61
41229,408,4581,39,18185,18628,3980,465,6899,10,659,373297,85,2530,40,19,47,266,4.45
58535,582,2323,70,22732,22065,3377,821,3413,18,1056,345204,70,5426,69,39,64,543,6.25
29479,241,8476,23,9512,8227,3015,178,7938,9,1519,158135,81,1894,30,39,27,145,54.65
69808,449,40745,84,36790,17126,20925,720,12092,17,1222,263075,179,5018,97,31,91,211,10.8
55942,432,3538,126,31824,17134,4523,1193,3561,19,1462,335715,54,4910,105,30,108,437,7.68
44087,352,4410,79,23361,14478,4462,697,7344,10,899,361330,77,3351,56,27,57,379,5.85
7410,109,479,8,1958,4367,241,77,1113,3,253,447292,16,480,7,7,12,104,1.63
75842,581,21212,63,28257,17591,9468,682,21514,13,886,313137,277,4119,77,31,61,198,3.82
46257,373,3845,70,18255,16171,3799,674,7419,14,829,361190,67,4221,55,29,57,457,6
36889,260,162094,43,18815,10377,6995,395,2226,8,297,189406,144,2740,55,24,39,283,23.55
34507,333,57612,38,14198,12427,10493,457,5786,8,751,299535,161,1972,39,17,39,130,14.34
83886,597,4903,21,26089,32102,6694,720,14392,13,868,295001,92,2944,58,28,67,204,8.67
56524,606,10635,31,12660,14934,3920,325,19362,10,502,307715,326,3129,45,19,22,416,14.17
18788,213,2566,36,6365,8310,1146,170,3487,7,367,422565,58,1799,16,15,17,336,2.56
64939,418,7290,86,29586,14719,8503,1262,8828,14,746,328282,99,4340,86,34,100,309,6.54
76583,415,5853,131,36580,17566,9950,635,8012,17,624,296169,101,5485,113,41,82,326,9.83
39217,400,6025,62,15527,16545,3196,449,5638,12,594,367267,88,3699,47,30,31,602,6.61
53507,255,14080,79,30076,10277,6272,1317,9644,10,2313,289765,94,3543,91,22,92,204,16.46
36571,188,151660,54,21473,8966,7659,325,2151,11,498,200298,217,2764,68,22,47,206,22.34
86056,855,650,44,30775,29205,7116,720,6899,14,554,305892,68,3741,61,35,73,287,7.07
62240,652,14287,51,24410,24996,6814,875,18027,15,1021,326833,210,3153,61,29,80,284,5.08
74677,475,33698,499,105964,5197,38896,1975,4006,106,3400,141073,192,21253,287,28,163,344,23.09
84998,430,3280,92,51059,20513,3015,1967,4303,18,1383,278968,144,5312,141,35,122,221,11.18
63986,318,74186,291,45183,15466,24724,1022,4748,12,838,205533,276,3681,131,31,117,102,19.04
62822,588,10971,191,65327,12701,9769,1835,7419,60,2130,266020,188,14634,183,35,137,496,12.62
74942,538,14344,97,37699,19824,13206,1069,17285,17,1039,290607,174,5270,112,28,100,255,7.81
46945,212,114138,68,30495,10991,4101,550,1335,16,663,225960,162,3693,92,27,59,266,19.05
78805,606,17324,136,39378,20007,12724,713,20327,15,838,295982,274,5545,127,37,85,301,4.91
40911,397,3817,92,15597,16844,3075,604,6899,14,655,375961,110,4316,50,31,51,600,4.4
51867,389,3230,66,26369,19517,8804,960,4674,13,615,338145,63,4077,69,28,87,334,8.03
96641,702,3202,93,47072,24963,8744,937,4451,15,1353,272704,64,5294,127,38,125,240,9.54
22070,267,3223,27,8043,11431,1568,318,3858,6,825,412795,57,1793,23,17,32,319,3.03
49591,513,9906,40,22452,16130,5186,743,12018,12,951,336042,139,3711,71,24,63,292,8.55
41017,432,4646,28,13149,25029,2955,403,5416,8,663,375213,86,2572,30,21,37,346,4.35
36360,281,74901,77,20423,12004,3679,573,5490,13,1104,292196,211,3903,53,35,67,493,13.04
29056,93,3795,55,19654,4317,1327,194,668,9,454,394612,20,2098,63,24,47,218,5.24
53137,434,9255,81,24900,18537,5548,689,6009,17,716,331835,90,4538,71,35,54,461,8.84
46892,215,2137,53,35671,11838,2352,968,4154,17,1602,321505,37,4328,80,34,39,340,13.14
57953,422,10285,86,29306,15897,7478,705,4080,14,567,300937,94,4460,85,34,60,361,14.05
74677,304,7411,125,39588,9530,4764,1673,2151,24,934,288737,74,4568,136,47,131,265,13.7
66739,595,19776,36,23011,20554,5669,829,8012,9,511,301218,145,2656,67,23,55,143,11.41
87273,382,1208,16,14688,45326,2955,240,6232,12,1327,305425,58,2038,20,11,90,133,8.22
41758,528,7426,18,5735,17242,1809,170,15356,4,218,380542,158,1043,30,8,13,110,3.99
62293,425,12086,101,31614,17292,9829,829,7641,15,742,307248,131,4934,94,39,70,369,10.07
67797,3350,2887,82,35671,17126,3015,279,2819,18,1510,296029,62,5156,147,34,40,246,13.57
72296,747,6232,32,16577,21825,4040,403,20104,12,305,327441,206,2086,40,24,39,148,6.29
88755,373,29231,97,46163,24838,14171,743,3709,21,759,237599,150,4664,136,28,124,138,14.39
67321,724,16367,91,29376,20513,8804,465,25001,9,1589,308136,251,3489,78,14,41,337,6.23
65892,725,20333,61,23991,18371,9106,364,26336,10,921,309585,322,3741,76,16,25,330,6.62
42975,243,71756,103,22941,13664,6995,751,5564,10,1078,283689,172,2506,62,24,67,173,13.19
49114,425,9248,100,32733,12128,4402,774,6603,12,720,328516,100,3837,66,30,104,392,10.15
66950,816,30882,41,39308,13780,14232,867,19956,9,1610,233533,515,5917,103,28,67,229,18.92
81769,67,33605,49,76658,3528,26534,1479,23220,6,519,233018,111,6463,307,28,57,93,9.39
67268,648,14637,97,42036,19392,14714,550,17508,13,1174,254147,187,4149,112,30,94,158,16.38
40488,139,95770,179,22662,7206,5910,418,4303,13,541,256811,145,3046,89,35,51,232,17.28
25457,179,808,42,15667,7131,1327,488,1780,13,450,406719,30,3441,60,31,43,322,3.6
62557,818,11550,27,29236,22970,4462,674,20772,13,1392,284390,220,4268,67,20,52,361,13.86
91878,585,7883,118,53437,19351,13267,1185,9941,20,1139,257559,123,5647,140,41,128,187,11.25
70073,373,2644,49,26928,15931,2472,170,3561,15,580,324075,67,3063,52,22,80,221,9.53
38635,397,13222,59,15318,16943,3679,403,5490,14,751,356796,94,3621,40,31,35,597,7.78
61975,589,11685,16,14059,24107,2895,372,23814,10,938,330246,189,1793,30,19,36,193,6.59
40805,588,1658,53,12520,24290,1447,387,5712,18,698,377784,92,3465,43,21,35,302,4.5
70179,380,31304,135,41546,5114,16282,550,23591,6,1680,208665,485,4430,134,17,58,111,23.76
65310,291,24772,79,41826,10443,15076,844,15356,14,890,305331,244,5665,116,31,69,285,5.53
79388,347,14094,120,43365,21360,8925,922,6677,17,978,278547,112,4550,128,31,103,192,10.77
22017,276,2852,32,7064,11373,1447,511,3932,9,502,414665,58,1972,29,14,32,328,2.88
47474,308,94055,74,27558,14486,8684,589,2448,13,1109,236758,212,3441,79,28,63,274,18.4
64992,664,9370,29,22242,23950,3015,387,18621,17,650,319354,200,3633,52,31,34,296,7.89
43557,356,2973,62,25669,19342,13267,991,4006,12,768,332115,50,3741,59,28,75,317,10.37
63669,562,12250,49,27208,23950,6935,379,16024,10,834,322767,142,2788,55,37,55,335,6.13
46945,158,76759,42,19794,8883,3498,333,445,12,611,274761,49,3249,55,27,50,249,16.04
55571,305,34163,183,27767,13133,9347,1162,13131,10,550,307715,147,3279,73,25,61,225,8.81
73090,714,4074,60,30006,22472,6151,883,14837,15,882,309585,96,5390,111,38,115,295,7.82
50649,347,50465,87,24900,15673,10372,728,9422,14,1309,278921,178,4239,68,32,66,335,13.73
59382,452,10956,92,29656,17392,7478,720,4970,16,642,304022,94,4592,89,35,64,381,12.63
71978,514,21934,96,50079,12884,13508,658,18324,11,847,283502,245,4904,124,24,73,284,7.85
39747,270,3345,77,23151,12245,4282,550,3264,15,908,350018,49,4251,71,30,67,503,9.97
50385,533,6833,17,16157,23742,3618,720,14392,11,847,337257,100,2104,36,21,72,194,8.82
22493,271,2730,22,7974,11207,1508,395,3858,7,620,416067,55,1769,22,14,36,297,2.47
32602,237,164453,36,16227,11498,8563,302,1410,9,384,191276,301,2344,41,23,34,250,23.64
14925,197,772,17,9302,5736,965,395,1484,5,615,424762,25,893,18,12,37,124,3.36
38529,412,4152,28,12520,24938,2834,449,4822,8,733,381617,86,2374,32,24,30,401,3.75
46415,457,1172,50,23571,13540,1447,434,816,20,580,367874,59,6649,71,42,86,726,5.42
57741,167,90553,109,39238,11921,28705,604,7344,10,432,222641,176,4658,99,29,63,161,14.71
61287,334,47613,95,30425,17383,16342,953,6157,13,1034,261298,103,4059,82,35,116,244,14.36
42287,403,7361,70,16996,17101,3679,465,6009,13,628,360022,87,3975,50,33,35,599,6.94
10479,133,793,12,4057,4483,482,108,1410,3,354,437803,25,815,10,7,16,184,2.58
61975,843,8805,8,6015,28798,1387,225,22552,10,650,318840,211,1613,26,13,21,172,10.51
29903,348,4331,42,10911,14112,2050,356,4451,9,458,393677,70,3087,34,24,22,647,4.38
60758,565,14215,36,16856,19284,6452,248,23146,7,358,338660,179,2386,49,16,21,222,4.38
68009,425,9184,73,29166,14536,7056,705,15653,14,786,325898,155,4766,80,32,74,288,5.59
19953,242,4438,11,5386,9240,784,132,4748,6,1152,393864,63,1121,16,10,27,229,8.07
61764,205,24436,151,38749,7588,17126,929,16692,10,877,277519,238,4934,109,25,63,192,12.54
68273,485,1058,50,36231,20106,4040,364,2819,13,2409,273078,36,3759,69,27,66,212,18.41
34190,339,1344,23,9302,21136,1327,333,2448,8,720,398258,36,2098,25,17,51,126,3.05
57953,517,21720,89,19864,11688,9468,356,20920,6,707,297431,229,3028,71,11,40,164,12.7
55518,317,4238,79,35951,13415,6754,1053,8606,17,1074,327535,78,5899,121,28,94,271,8.17
56736,564,15909,44,19025,17807,6392,349,17285,9,1776,281492,270,3159,57,21,50,215,17.34
44192,296,104918,105,24130,9215,18393,333,816,12,1314,213479,277,2722,94,22,67,127,22.39
69067,412,56969,68,30495,39507,11337,829,2671,16,1109,228998,183,3405,87,28,98,164,17.25
68644,612,8148,62,27558,23078,6272,1386,9644,23,594,314306,161,3849,84,38,60,346,8.33
76953,508,26594,114,52807,14926,18393,1642,19956,11,1087,281165,211,6966,162,36,96,259,4.53
50332,373,12107,53,29026,15416,7236,1518,9570,13,1305,329544,108,3855,86,26,108,220,8.44
75683,645,13451,100,39168,19973,13086,511,13873,15,1894,222828,189,4754,101,32,104,165,22.49
68750,707,7097,67,28187,21053,8020,612,15653,14,1183,297665,203,4274,67,34,59,526,10.93
44828,460,6154,72,20214,19301,3679,720,6751,16,851,360255,113,4562,60,34,62,594,5.52
75259,394,58155,136,41476,19508,18151,1092,6306,14,847,227736,210,4125,126,29,108,121,15.31
36042,314,4281,62,15877,12668,2111,1076,4303,13,1039,374138,260,3825,51,27,119,480,6.52
55518,587,12057,35,14059,19168,4523,325,19288,6,611,340763,211,2374,37,17,31,204,6.43
65257,397,21748,76,31125,13125,11337,705,18621,11,803,309024,346,4167,82,31,47,216,6.84
61446,356,27830,74,48750,10701,14895,914,16172,18,851,265739,182,6487,160,30,71,233,13.04
46733,165,958,10,7554,28723,1206,201,5786,14,262,385357,30,1858,16,35,21,170,2.52
73248,372,4567,154,38609,14436,8684,1162,7270,20,589,309117,75,5593,108,39,89,412,8.16
61499,380,50136,81,36510,14619,25931,573,5193,13,1274,213900,74,4125,109,33,93,157,22.09
20641,283,2802,13,5036,13955,1025,170,3190,5,611,415600,53,1085,12,11,27,247,3.32
31596,341,12200,29,13849,19318,5669,325,3561,6,646,374699,68,1990,36,20,43,256,5.67
66368,520,6525,40,24130,20530,5126,651,9867,13,1698,307014,101,3177,66,20,91,190,11.5
73460,477,8362,111,38329,14212,8985,953,5416,17,467,286727,89,5497,108,42,76,321,12.75
29162,417,230134,420,37350,2308,27679,666,1929,38,4369,90403,854,5719,92,21,76,130,29.88
57953,256,1437,74,34482,11846,3015,813,2300,20,506,334359,107,5629,110,25,52,292,8.74
71184,587,18539,147,45883,16362,17910,743,18398,14,1392,247836,172,5348,134,21,64,195,15.24
60388,481,13458,70,38049,12319,7538,1332,12834,15,1885,312156,162,5294,86,27,91,363,8.21
62716,611,14230,37,32314,21559,7417,813,17582,26,1410,312296,163,4844,95,41,178,354,6.95
16089,268,3574,18,15388,7139,1025,457,2226,3,786,408168,36,1013,21,13,26,160,5.05
70390,589,24886,26,24760,14503,9226,635,23665,12,903,283735,400,3201,72,25,54,261,11.37
29744,149,106919,55,18815,8567,9468,186,742,10,1052,250360,231,2926,49,28,53,327,19.3
26674,131,253719,38,14758,6840,8443,248,445,10,524,92085,347,1565,43,17,38,73,34.7
38053,389,3381,66,15038,16819,2714,527,5341,14,711,377971,69,4089,46,31,41,700,4.94
38000,265,19761,24,10561,8185,4704,225,11350,6,1170,159677,329,1469,39,29,21,58,50.32
78382,425,14794,53,26788,23053,6091,782,23962,20,637,311922,202,3555,63,46,59,301,4.39
32972,322,8333,57,14828,12311,2111,496,5193,12,602,385684,76,3213,51,25,67,501,4.38
17095,186,293528,25,9792,4010,5910,271,668,6,480,74977,1100,1073,41,13,33,56,36.1
15454,303,593,12,1888,12203,241,77,1261,8,393,431119,39,1361,14,17,11,265,2.35
72560,535,8562,66,40567,24855,9528,612,12092,17,1043,283034,123,3903,91,51,102,227,11.26
39165,233,85264,77,19234,12635,14413,674,7789,10,1191,265038,225,3267,57,35,47,421,14.91
79335,415,53195,64,32664,20895,4101,480,2300,14,576,239656,58,3681,85,30,58,234,16.9
68009,343,40030,112,36790,19168,14292,751,7715,15,991,266253,151,4185,104,29,91,181,12.2
98705,484,10063,144,52737,18786,12543,403,2893,17,829,227175,99,4652,141,33,132,130,17.71
54460,270,3209,102,28607,27843,8684,573,3635,11,1335,335621,46,3669,91,24,95,255,6.86
63034,543,13079,34,18045,22240,4282,310,19733,13,772,327020,196,2734,54,31,51,292,6.74
71978,689,23071,21,15108,23095,5729,418,24778,8,436,324964,440,2278,39,22,26,250,3.56
70655,640,15766,96,40357,19558,15980,782,18398,13,1135,278594,183,4580,103,22,106,193,10.1
78117,473,8934,109,41057,17923,9950,984,6528,18,768,275088,112,5270,115,41,89,264,13.04
55518,552,9556,37,22941,22231,4885,705,12982,12,637,337491,113,2698,53,32,61,279,6.5
40541,392,5510,64,16437,16163,3377,519,5416,14,493,368950,88,3963,52,31,37,599,5.94
54883,514,11071,29,20423,20961,4342,519,15727,13,873,342726,140,3507,46,23,48,340,5.38
92619,906,17196,71,40707,31894,9106,1247,10757,42,624,262280,295,4484,131,39,89,356,9.81
35936,250,3123,60,15807,9995,2895,480,10163,10,729,391807,73,3441,44,21,39,278,2.67
47421,490,1730,55,23851,19741,4885,627,4674,12,838,356189,55,3699,64,24,69,236,6.24
71555,297,72757,125,37979,14652,21528,627,1484,17,1004,211423,259,3867,134,27,102,123,18.15
61181,599,13058,38,51688,18562,5849,759,18621,12,1536,296637,200,3249,66,27,63,306,8.77
61922,930,12757,21,41546,25303,3437,666,16989,27,1200,281398,250,7943,63,37,80,663,12.38
13390,101,6518,29,6435,1710,1206,124,2745,6,2304,36040,130,1127,34,20,6,41,86.37
12543,202,1286,17,4127,6940,543,178,2151,5,410,432241,35,1235,18,9,21,230,2.77
17359,236,1687,14,4826,10286,784,186,3116,5,419,425136,41,1049,10,11,18,251,2.66
56842,292,37086,88,31824,14702,25207,922,5045,11,1078,258494,79,3507,91,38,92,245,16.19
45251,208,97628,70,37210,19525,65188,1138,816,11,1257,136586,52,2482,101,31,70,118,28.73
26833,186,13594,39,17975,5853,6754,225,4896,7,1497,96666,165,1811,54,20,14,70,66.48
88544,503,2101,90,42526,23742,9829,720,8531,15,655,285465,50,4976,94,31,46,219,8.82
82616,777,22306,40,22941,23086,6513,720,20475,12,598,301124,386,2632,58,24,76,184,5.88
15401,108,145513,18,8813,4948,44504,232,445,6,262,190481,137,1193,18,13,19,143,26.12
59858,320,4367,85,34342,11987,2653,1688,1039,28,960,326693,62,8633,123,46,76,343,9.08
54725,522,10985,30,30985,14046,4342,1479,13576,10,2544,312016,196,3513,57,38,80,355,11.04
59170,497,10849,55,26998,22522,7478,325,13947,12,991,328189,146,3022,62,33,63,277,6.3
35566,178,9791,51,23431,11622,4282,1076,2967,8,899,337257,43,2236,58,34,108,187,12.87
62134,631,8626,60,20913,20123,4221,705,10683,13,367,333191,161,3028,57,28,49,253,7.26
79123,607,16331,131,45673,18720,17126,1208,17582,11,1004,278407,134,7398,148,35,96,230,7.19
48585,204,157,57,28117,11498,3317,139,1261,12,546,284250,22,4628,78,28,25,205,22.75
40488,313,5110,40,19374,13233,3437,589,7196,9,690,368856,87,2422,43,20,50,135,6
57265,261,1222,5,5106,38261,724,101,9644,8,772,368155,30,1912,14,18,22,217,2.84
35089,391,5339,31,13219,15980,2533,418,7196,9,681,384609,92,2266,35,20,47,298,4.35
46204,384,7812,42,21123,22605,6633,449,4674,10,445,355300,80,2650,49,28,39,259,5.84
75207,443,5911,107,38888,20222,9287,1069,8457,18,563,296076,100,5186,115,37,82,278,9.55
74360,447,164,51,30285,20280,2714,310,890,15,327,330947,23,4292,61,26,41,430,6.67
66262,434,3295,11,13009,35265,4101,147,7938,8,297,344970,58,1583,21,24,35,137,4.84
25775,310,8205,44,17905,10360,1809,836,4006,8,611,383580,71,2620,32,20,36,457,6.32
65098,578,16831,57,31544,16520,8020,968,23814,7,759,319541,228,2980,69,16,39,220,4.88
63986,973,11185,16,21892,27146,3498,3408,22256,10,1004,323795,211,3279,50,35,59,295,5.56
64939,520,15323,65,29656,17948,9166,728,15356,15,1872,246761,165,3963,123,32,75,217,21.21
49697,396,14830,81,21962,15532,10010,705,6454,17,1218,320570,87,5276,75,40,66,483,10.76
57847,714,12872,40,12660,18438,4402,248,22107,5,672,335154,254,2332,43,8,27,132,7.01
48691,315,1994,42,23781,12021,4643,705,4674,15,345,357404,61,3945,63,26,55,258,6.76
67215,598,17146,51,22452,13158,6030,426,22998,8,524,319588,312,2968,62,16,31,272,6.69
57688,748,10399,16,17556,25037,2231,527,19585,10,1244,321364,187,2692,39,17,47,320,9.31
74307,465,4681,94,39168,18911,9166,945,5267,18,956,300049,83,5527,113,32,100,243,9.46
48109,420,7983,76,22452,17724,5005,573,5416,15,672,333611,94,4346,67,33,46,540,10.29
63563,407,20362,99,30076,16097,7297,829,9867,16,807,305612,154,5348,89,35,72,298,9.45
58694,468,5174,68,19934,22547,5367,209,9718,15,964,304022,118,3621,66,24,51,233,14.3
71396,217,85121,105,41406,15051,11397,1100,4006,13,838,212545,254,3903,124,25,95,119,17.59
32178,306,2116,68,16087,13556,3437,403,3042,12,895,382599,71,3651,46,20,43,428,5.79
31279,199,3509,46,16716,10020,2834,643,4303,10,829,384141,47,2896,48,24,54,243,5.86
40223,287,124429,31,21473,8111,6332,589,4006,10,393,224698,54,3387,57,20,37,167,20.27
24028,184,240640,18,8463,9165,5246,263,1929,6,1658,119103,126,1355,36,17,35,158,31.98
60070,438,25336,297,36301,10003,21046,713,23665,7,978,305238,291,2920,103,13,55,97,5.61
41864,388,7654,41,17276,22912,5126,356,4822,10,441,364182,82,2818,44,24,35,317,5.5
58747,769,12343,21,16227,22630,4402,465,24259,10,685,271068,282,3651,42,19,27,226,19.06
12332,161,325403,22,6785,2109,3498,232,519,6,685,43472,410,695,24,11,32,38,40.37
38159,353,6854,58,16926,13971,3618,534,4600,11,646,361611,76,3567,49,28,37,457,8.1
76000,433,7976,75,35881,23734,6875,697,6899,17,262,302807,86,3933,97,34,67,286,8.58
23446,145,8219,17,9163,9289,2171,209,297,6,314,406298,36,1529,29,17,19,138,4.19
15772,183,1265,17,5735,8044,1146,170,1855,4,205,422565,30,1217,18,11,14,150,3.78
61658,627,13915,40,22312,16520,6030,449,19956,8,1135,313839,220,2884,63,13,55,190,9.35
19371,165,1136,34,12240,7106,1146,294,1632,9,559,413870,32,3129,34,22,29,449,3.75
31279,314,1479,57,17206,10867,1447,1394,3264,17,493,394051,49,4616,48,31,36,501,3.83
80393,1000,21906,65,49730,22148,14232,1526,19066,17,2361,272283,365,6379,130,43,132,268,6.53
107332,993,7604,60,37070,18504,6151,991,3413,30,393,249612,262,4718,143,39,89,361,14.84
27680,327,2816,21,8813,14943,1628,379,4377,6,393,405644,60,1739,19,16,22,317,3.09
74254,473,3809,80,35321,17641,8985,1092,9125,15,1196,296684,74,4532,106,31,84,263,10.63
43504,571,4753,348,17416,13415,3075,480,12241,10,340,377317,210,2668,57,18,39,297,3.27
55466,420,36021,91,28677,14112,8382,728,4525,15,567,285839,129,4394,90,34,59,363,14.17
63193,498,7433,51,20633,18413,5548,542,15356,10,1244,315101,168,2992,61,24,81,198,10.39
62875,606,11914,40,28047,23377,6452,635,16247,15,921,308603,164,3771,58,31,67,260,9.16
72507,435,18982,303,53577,14038,9769,4004,4970,20,3173,256344,118,4682,234,35,105,211,14.68
39059,400,8083,57,15457,17143,3437,434,5564,12,646,358432,93,3657,46,30,35,621,8.13
44404,425,6718,74,18115,17433,3679,736,6083,15,690,354179,90,4730,58,34,43,538,7.43
64674,397,8269,34,18255,24680,2895,349,14466,15,1479,303228,134,2818,55,16,50,230,12.65
12226,174,958,14,3637,6508,422,77,2003,6,733,425697,27,983,6,6,17,199,4.4
62346,271,5146,101,34762,14909,7900,2006,5193,16,912,298974,77,4778,102,23,84,208,13.29
41335,250,221343,77,22172,8318,7598,527,2671,10,786,108726,134,2284,68,18,64,110,31.16
50702,466,8805,38,20004,18114,3980,511,12612,12,1344,328563,112,2926,46,22,67,255,10.4
75524,484,32054,90,35811,19450,5427,976,6899,18,1344,267796,181,4622,105,40,112,285,12.99
16566,183,10149,32,16227,7098,1146,434,1261,6,912,404755,45,1469,32,17,50,422,4.56
